行区分,氏名,姓ふりがな,名ふりがな,姓ローマ字,名ローマ字,会派,選挙区,任期満了
,福山 守,ふくやま,まもる,fukuyama,mamoru,自民,比例,令和13年7月28日
,藤井 一博,ふじい,かずひろ,fujii,kazuhiro,自民,比例,令和10年7月25日
,藤川 政人,ふじかわ,まさひと,fujikawa,masahito,自民,愛知,令和10年7月25日
,藤木 眞也,ふじき,しんや,fujiki,shinya,自民,比例,令和10年7月25日
,船橋 利実,ふなはし,としみつ,funahashi,toshimitsu,自民,北海道,令和10年7月25日
,舟山 康江,ふなやま,やすえ,funayama,yasue,民主,山形,令和10年7月25日
,古川 俊治,ふるかわ,としはる,furukawa,toshiharu,自民,埼玉,令和13年7月28日
,星 北斗,ほし,ほくと,hoshi,hokuto,自民,福島,令和10年7月25日
,堀井 巌,ほりい,いわお,horii,iwao,自民,奈良,令和13年7月28日
,本田 顕子,ほんだ,あきこ,honda,akiko,自民,比例,令和13年7月28日
,舞立 昇治,まいたち,しょうじ,maitachi,shouji,自民,比例,令和13年7月28日
,牧野 たかお[牧野 京夫],まきの,たかお,makino,takao,自民,静岡,令和13年7月28日
,牧山 ひろえ[牧山 弘惠],まきやま,ひろえ,makiyama,hiroe,立憲,神奈川,令和13年7月28日
,松川 るい[新居 るい],まつかわ,るい,matsukawa,rui,自民,大阪,令和10年7月25日
,松沢 成文,まつざわ,しげふみ,matsuzawa,shigefumi,維新,神奈川,令和10年7月25日
,松下 新平,まつした,しんぺい,matsushita,shinpei,自民,宮崎,令和10年7月25日
,松田 学,まつだ,まなぶ,matsuda,manabu,参政,比例,令和13年7月28日
,松野 明美[前田 明美],まつの,あけみ,matsuno,akemi,維新,比例,令和10年7月25日
,松村 祥史,まつむら,よしふみ,matsumura,yoshifumi,自民,熊本,令和10年7月25日
,松山 政司,まつやま,まさじ,matsuyama,masaji,自民,福岡,令和13年7月28日
,三浦 信祐,みうら,のぶひろ,miura,nobuhiro,公明,神奈川,令和10年7月25日
,三上 えり[川堀 絵里],みかみ,えり,mikami,eri,立憲,広島,令和10年7月25日
,水岡 俊一,みずおか,しゅんいち,mizuoka,shun'ichi,立憲,比例,令和13年7月28日
,水野 孝一,みずの,こういち,mizuno,kouichi,民主,愛知,令和13年7月28日
,三原 じゅん子[中根 順子],みはら,じゅんこ,mihara,junko,自民,神奈川,令和10年7月25日
,宮崎 勝,みやざき,まさる,miyazaki,masaru,公明,比例,令和10年7月25日
,宮沢 洋一,みやざわ,よういち,miyazawa,youichi,自民,広島,令和10年7月25日
,宮出 千慧,みやで,ちさと,miyade,chisato,参政,大阪,令和13年7月28日
,宮本 和宏,みやもと,かずひろ,miyamoto,kazuhiro,自民,滋賀,令和13年7月28日
,宮本 周司,みやもと,しゅうじ,miyamoto,shuuji,自民,石川,令和13年7月28日
,村田 享子,むらた,きょうこ,murata,kyouko,立憲,比例,令和10年7月25日
,望月 良男,もちづき,よしお,mochizuki,yoshio,無所属,和歌山,令和13年7月28日
,森 まさこ[三好 雅子],もり,まさこ,mori,masako,自民,福島,令和13年7月28日
,森 ゆうこ[森 裕子],もり,ゆうこ,mori,yuuko,立憲,比例,令和13年7月28日
,森本 真治,もりもと,しんじ,morimoto,shinji,立憲,広島,令和13年7月28日
,山内 佳菜子,やまうち,かなこ,yamauchi,kanako,立憲,宮崎,令和13年7月28日
,山崎 正昭,やまざき,まさあき,yamazaki,masaaki,自民,福井,令和10年7月25日
,山下 雄平,やました,ゆうへい,yamashita,yuuhei,自民,佐賀,令和13年7月28日
,山添 拓,やまぞえ,たく,yamazoe,taku,共産,東京,令和10年7月25日
,山田 太郎,やまだ,たろう,yamada,tarou,自民,比例,令和13年7月28日
,山田 宏,やまだ,ひろし,yamada,hiroshi,自民,比例,令和10年7月25日
,山田 吉彦,やまだ,よしひこ,yamada,yoshihiko,民主,比例,令和13年7月28日
,山谷 えり子[小川 惠里子],やまたに,えりこ,yamatani,eriko,自民,比例,令和10年7月25日
,山中 泉,やまなか,せん,yamanaka,sen,参政,比例,令和13年7月28日
,山本 啓介,やまもと,けいすけ,yamamoto,keisuke,自民,長崎,令和10年7月25日
,山本 佐知子,やまもと,さちこ,yamamoto,sachiko,自民,三重,令和10年7月25日
,山本 順三,やまもと,じゅんぞう,yamamoto,junzou,自民,愛媛,令和10年7月25日
,山本 太郎,やまもと,たろう,yamamoto,tarou,れ新,東京,令和10年7月25日
,横沢 高徳,よこさわ,たかのり,yokosawa,takanori,立憲,岩手,令和13年7月28日
,横山 信一,よこやま,しんいち,yokoyama,shin'ichi,公明,比例,令和10年7月25日
,吉井 章,よしい,あきら,yoshii,akira,自民,京都,令和10年7月25日
,吉川 沙織,よしかわ,さおり,yoshikawa,saori,立憲,比例,令和13年7月28日
,吉田 忠智,よしだ,ただとも,yoshida,tadatomo,立憲,大分,令和13年7月28日
,ラサール石井[石井 朗夫],らさーるいしい,,rasaaruishii,,立憲,比例,令和13年7月28日
,蓮舫[齊藤 蓮舫],れんほう,,renhou,,立憲,比例,令和13年7月28日
,若井 敦子,わかい,あつこ,wakai,atsuko,自民,岐阜,令和13年7月28日
,若林 洋平,わかばやし,ようへい,wakabayashi,youhei,自民,静岡,令和10年7月25日
,脇 雅昭,わき,まさあき,waki,masaaki,自民,神奈川,令和13年7月28日
,渡辺 猛之,わたなべ,たけゆき,watanabe,takeyuki,自民,岐阜,令和10年7月25日
